NUMERO_PEDIDO;DATA_DIVULGACAO;DATA_CANCELAMENTO;FILIAL;MOTIVO;SUBMOTIVO;COD_PDV;PRODUTO;CANAL;CPF;NOME_CLIENTE;LOGIN_VENDEDOR;DESC_CAMPANHA;DESC_OFERTA;GRUPO_UNIDADE;CANAL_REGIONAL;DESC_CANAL_BOV_GRUPO;NOME_PONTO_VENDA;RESULTADO_FINAL;MUNICIPIO_INSTALACAO;DDD_FIXO;DETALHE_MOTIVO;FLG_VL_VL_MESMO_END_CLIE_DIF;FLG_VL_VL_CLIE_END_IGUAL;FLG_VL_PLT_CLIE_END_IGUAL;FLG_VL_PLT_MESMO_END_CLIE_DIF
"4-172550814514";20240415;20240412;ES;VENDA INDEVIDA;Pedido Duplicado;1063165;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR789541;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SMART CELL TELECOMUNICACOES LTDA;;SERRA;27;;;;;
"4-172442099288";20240408;20240406;ES;VENDA ERRADA;Divergencia De Endereco;1063165;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR778047;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SMART CELL TELECOMUNICACOES LTDA;;CARIACICA;27;Divergencia De Endereco;;;;
"4-172435774445";20240408;20240406;SC;VENDA INDEVIDA;Pedido Duplicado;1065763;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801795;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;MAXIMA TELECOM LTDA;;ITAJAI;47;;;;;S
"4-171956985967";20240404;20240403;RJ;VENDA INDEVIDA;Pedido Duplicado;1048707;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC288130;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;BELFORD ROXO;21;;;;;
"4-173302420901";20240415;20240413;RJ;VENDA INDEVIDA;Pedido Duplicado;1048707;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC273951;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;MESQUITA;21;;;;;
"4-171529717632";20240411;20240329;RJ;VENDA INDEVIDA;Pedido Duplicado;1048707;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC305059;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;PETROPOLIS;24;;;;;
"4-173022499657";20240415;20240411;RO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065761;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800222;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAXIMA TELECOM LTDA;;PORTO VELHO;69;;;S;;
"4-172535458885";20240409;20240408;MG;VENDA INDEVIDA;Pedido Duplicado;1066106;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR773872;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;FOX TELECOM LTDA;;MONTES CLAROS;38;;;;;
"4-173090433331";20240415;20240413;RJ;VENDA INDEVIDA;Pedido Duplicado;1064199;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR761465;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;VEEP BRASIL TELEMARKETING LTDA;;RIO DE JANEIRO;21;;;;;
"4-173102503266";20240415;20240411;RJ;VENDA INDEVIDA;Pedido Duplicado;1064199;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR761465;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;VEEP BRASIL TELEMARKETING LTDA;;BELFORD ROXO;21;;;;;
"4-171139615239";20240408;20240405;MS;VENDA ERRADA;Divergencia De Endereco;1050437;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791665;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;TELENOP EMPRESARIAL LTDA;;DOURADOS;67;Divergencia De Endereco;;;;
"4-172596923429";20240409;20240408;MG;VENDA INDEVIDA;Pedido Duplicado;1056155;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC305225;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP S A;;BELO HORIZONTE;31;;;;;
"4-173221615169";20240415;20240413;RJ;VENDA INDEVIDA;Pedido Duplicado;1061166;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795635;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;SAO JOAO DE MERITI;21;;;;;
"4-173666691520";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1061166;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799749;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;RIO DE JANEIRO;21;;;;;S
"4-173661303664";20240422;20240419;AM;VENDA INDEVIDA;Pedido Duplicado;1064533;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR747242;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;DYALOGOS SERV TEL COMUNICACAO LTDA;;MANAUS;92;;;;;
"4-173006886040";20240415;20240412;AM;VENDA INDEVIDA;Pedido Duplicado;1064533;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR772339;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;DYALOGOS SERV TEL COMUNICACAO LTDA;;MANAUS;92;;;;;
"4-173097598718";20240415;20240412;RJ;VENDA INDEVIDA;Pedido Duplicado;1066198;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR646787;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;LP CONEXOES TELECOM LIMITADA;;SAO PEDRO DA ALDEIA;22;;;;;
"4-172102021169";20240408;20240405;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1066198;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR646787;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;LP CONEXOES TELECOM LIMITADA;;RIO DE JANEIRO;21;;;;;
"4-171223816178";20240402;20240329;GO;VENDA INDEVIDA;Pedido Duplicado;1066325;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799753;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;USER DIGITAL SERVICOS LTDA;;PLANALTINA;61;;;;;S
"4-172301520414";20240405;20240404;ES;VENDA INDEVIDA;Pedido Duplicado;1065746;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800222;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MAXIMA TELECOM LTDA;;SERRA;27;;;;;
"4-173493429690";20240419;20240417;GO;VENDA INDEVIDA;Pedido Duplicado;1064354;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR802138;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;SUPER FIT TELECOM LTDA;;APARECIDA DE GOIANIA;62;;;;;
"4-172943695185";20240418;20240415;GO;VENDA INDEVIDA;Pedido Duplicado;1064354;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801612;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;SUPER FIT TELECOM LTDA;;AGUAS LINDAS DE GOIAS;61;;;;;
"4-173125907342";20240418;20240416;RR;VENDA INDEVIDA;Pedido Duplicado;1065264;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR752705;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;GATTAI REP SERV EM TELECOM LTDA;;BOA VISTA;95;;;;;
"4-173746771805";20240422;20240419;PR;VENDA INDEVIDA;Pedido Duplicado;1066328;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR802538;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;USER DIGITAL SERVICOS LTDA;;CURITIBA;41;;;;;
"4-171527795391";20240410;20240409;DF;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1062098;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR765520;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;CONECTA TELECOMUNICACOES LTDA;;SOBRADINHO;61;;;;;
"4-171433918107";20240402;20240329;DF;VENDA INDEVIDA;Pedido Duplicado;1062098;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799630;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;CONECTA TELECOMUNICACOES LTDA;;SOBRADINHO;61;;;;;
"4-171771906071";20240403;20240402;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1066159;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR777000;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;PAP;XCHANGE TELECOM SERVICOS LTDA;;SAO GONCALO;21;;;;;
"4-171598165349";20240402;20240328;PR;VENDA INDEVIDA;Pedido Duplicado;1064181;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR761465;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;VEEP BRASIL TELEMARKETING LTDA;;CAMPO MOURAO;44;;;;;S
"4-172105542709";20240409;20240408;RS;VENDA INDEVIDA;Pedido Duplicado;1058282;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792120;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;BRASIL TELECOM CALL CENTER SA;;PORTO ALEGRE;51;;;;;
"4-173773674392";20240422;20240420;MG;VENDA INDEVIDA;Pedido Duplicado;1062601;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR776719;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;CUTNEI TELECOM EIRELI;;BELO HORIZONTE;31;;;;;
"4-170485727937";20240402;20240328;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1066419;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR743009;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;METTA TECNOLOGIA CONSULTORIA LTDA;;RIO DE JANEIRO;21;;;;;
"4-173307901598";20240415;20240413;PA;VENDA INDEVIDA;Pedido Duplicado;1065263;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR731472;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;GATTAI REP SERV EM TELECOM LTDA;;BELEM;91;;;;;
"4-173509567840";20240422;20240419;MG;VENDA INDEVIDA;Pedido Duplicado;1058275;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792105;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;BRASIL TELECOM CALL CENTER SA;;BELO HORIZONTE;31;;;;;
"4-171238122907";20240402;20240328;RJ;VENDA INDEVIDA;Pedido Duplicado;1065368;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR565512;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;TPL TELECOM LTDA;;NOVA IGUACU;21;;;;;
"4-173874818901";20240422;20240420;RJ;VENDA INDEVIDA;Pedido Duplicado;1058280;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792109;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;BRASIL TELECOM CALL CENTER SA;;VOLTA REDONDA;24;;;;;
"4-171761820539";20240402;20240401;PA;VENDA INDEVIDA;Pedido Duplicado;1064731;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR782344;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;NRS TELECOM LTDA;;BELEM;91;;;;;
"4-173750231478";20240422;20240420;AM;VENDA INDEVIDA;Pedido Duplicado;1056148;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC295865;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP S A;;MANAUS;92;;;;;
"4-173777235179";20240422;20240419;SP;VENDA INDEVIDA;Pedido Duplicado;1066577;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790175;;BD_OITOTAL_VOIP+BL;VAREJO;RSP;OUTROS;;;CAMPINAS;19;;;;;
"4-173379900794";20240418;20240416;RS;VENDA INDEVIDA;Pedido Duplicado;1057823;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR792098;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;GRAVATAI;51;;;;;
"4-173099956918";20240415;20240411;SC;VENDA INDEVIDA;Pedido Duplicado;1046193;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC295358;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;CRICIUMA;48;;;;;
"4-173575201598";20240419;20240418;PR;VENDA INDEVIDA;Pedido Duplicado;1047947;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC749968;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;MARINGA;44;;;;;
"4-172762510651";20240411;20240410;MG;VENDA INDEVIDA;Pedido Duplicado;1066312;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800687;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROATIVA TELECOMUNICACAO EIRELI;;RIBEIRAO DAS NEVES;31;;;;;
"4-172761915117";20240410;20240409;CE;VENDA INDEVIDA;Pedido Duplicado;1051013;FIBRA;S2S;DADOS SENSIVEIS;DADOS SENSIVEIS;BC755123;;BD_OITOTAL_VOIP+BL;VAREJO;S2S;S2S;BRASIL TELECOM CALL CENTER SA;;FORTALEZA;85;;;;;
"4-172992577319";20240411;20240410;MT;VENDA INDEVIDA;Pedido Duplicado;1064330;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798045;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ALPHA TELECOM E SERVICOS LTDA;;RONDONOPOLIS;66;;;;;S
"4-171583755213";20240422;20240419;MT;VENDA INDEVIDA;Pedido Duplicado;1064330;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR654051;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ALPHA TELECOM E SERVICOS LTDA;;TANGARA DA SERRA;65;;;;;
"4-173682152711";20240422;20240419;MT;VENDA INDEVIDA;Pedido Duplicado;1064330;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798045;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ALPHA TELECOM E SERVICOS LTDA;;RONDONOPOLIS;66;;;;;
"4-173485345656";20240422;20240419;SC;VENDA ERRADA;Divergencia De Endereco;1064377;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR802138;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;SUPER FIT TELECOM LTDA;;FLORIANOPOLIS;48;Divergencia De Endereco;;;;
"4-171567807062";20240402;20240328;RS;VENDA INDEVIDA;Pedido Duplicado;1065760;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800222;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;MAXIMA TELECOM LTDA;;PELOTAS;53;;;;;
"4-173650377996";20240419;20240418;RS;VENDA INDEVIDA;Pedido Duplicado;1065760;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800223;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;MAXIMA TELECOM LTDA;;CAMAQUA;51;;;;;
"4-172757481339";20240410;20240409;PR;VENDA ERRADA;Divergencia De Endereco;1060981;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR772690;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;BRS TELECOM EIRELI;;CASCAVEL;45;Divergencia De Endereco;;;;
"4-171195747103";20240403;20240402;RJ;VENDA INDEVIDA;Pedido Duplicado;1063726;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR707861;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;NILOPOLIS;21;;;;;
"4-171230275508";20240404;20240403;RJ;VENDA INDEVIDA;Pedido Duplicado;1063726;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR726675;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;BELFORD ROXO;21;;;;;
"4-171529438464";20240402;20240328;RS;VENDA INDEVIDA;Pedido Duplicado;1047293;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR796211;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;VERONEZ TELECOMUNICACOES LTDA;;PORTO ALEGRE;51;;;;;
"4-171613427976";20240404;20240403;RJ;VENDA INDEVIDA;Pedido Duplicado;1063725;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791992;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;PETROPOLIS;24;;;;;
"4-172096388311";20240415;20240412;RJ;VENDA INDEVIDA;Pedido Duplicado;1063725;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791989;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;NILOPOLIS;21;;;;;
"4-172326351534";20240408;20240405;RJ;VENDA INDEVIDA;Pedido Duplicado;1063725;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801672;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;VOLTA REDONDA;24;;;;;S
"4-172218848393";20240418;20240415;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1063725;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR768972;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;RIO DE JANEIRO;21;;;;;
"4-171704378477";20240405;20240404;RJ;VENDA INDEVIDA;Pedido Duplicado;1063725;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797299;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;RIO DE JANEIRO;21;;;;;
"4-173245857261";20240418;20240417;RJ;VENDA INDEVIDA;Pedido Duplicado;1063725;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR634345;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SOMA FIBRA SOL INTEGRADAS INF LTDA;;RESENDE;24;;;;;
"4-172562770583";20240408;20240406;MG;VENDA INDEVIDA;Pedido Duplicado;1066432;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800217;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MEGA FIBER MG LTDA;;JUIZ DE FORA;32;;;;;S
"4-171960793764";20240404;20240403;MG;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1066432;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800976;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MEGA FIBER MG LTDA;;JUIZ DE FORA;32;;;S;;
"4-173201598804";20240418;20240415;GO;VENDA ERRADA;Divergencia De Endereco;1063920;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR793985;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;JV TELECOM E SERVICOS LTDA;;AGUAS LINDAS DE GOIAS;61;Divergencia De Endereco;;;;
"4-171543275039";20240402;20240328;ES;VENDA INDEVIDA;Pedido Duplicado;1065923;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799872;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;CONNECT MASTER BRASIL LTDA;;NOVA VENECIA;27;;;;;
"4-171586000755";20240405;20240404;MG;VENDA INDEVIDA;Pedido Duplicado;1065533;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR746089;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;AVANTE TELECOM LTDA;;BELO HORIZONTE;31;;;;;
"4-172068081662";20240415;20240412;RS;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1066083;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798428;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;ABC GESTAO EMPRESARIAL LTDA;;SAPUCAIA DO SUL;51;;;;;
"4-172914217997";20240418;20240415;SC;VENDA INDEVIDA;Pedido Duplicado;1054866;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR739652;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;ESCALE SEO MARKETING DIGITAL LTDA;;FLORIANOPOLIS;48;;;;;
"4-173194816236";20240419;20240417;RJ;VENDA ERRADA;Divergencia De Endereco;1066570;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800687;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;LMP TELECOMUNICACOES LTDA;;NILOPOLIS;21;Divergencia De Endereco;;;;
"4-173113517617";20240415;20240412;PR;VENDA INDEVIDA;Pedido Duplicado;1065653;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799755;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;J ALVES DE OLIVEIRA LTDA;;CASCAVEL;45;;;;;
"4-171368988267";20240402;20240328;SC;VENDA INDEVIDA;Pedido Duplicado;1048179;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792092;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;RIO DO SUL;47;;;;;
"4-172359846583";20240408;20240406;RO;VENDA INDEVIDA;Pedido Duplicado;1062248;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800165;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;LANE RO COMUNICACOES LTDA;;PORTO VELHO;69;;;;;
"4-172758663841";20240411;20240410;AM;VENDA INDEVIDA;Pedido Duplicado;1048692;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC274359;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;MANAUS;92;;;;;
"4-173380729527";20240418;20240416;ES;VENDA ERRADA;Divergencia De Endereco;1065367;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR638933;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;TPL TELECOM LTDA;;SERRA;27;Divergencia De Endereco;;;;
"4-171579852001";20240402;20240328;RS;VENDA INDEVIDA;Pedido Duplicado;1062746;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR765309;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;A RAMOS COM DE TELEFONES LTDA;;ALVORADA;51;;;;;
"4-171202976646";20240402;20240330;GO;VENDA INDEVIDA;Pedido Duplicado;1057801;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801531;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;APARECIDA DE GOIANIA;62;;;;;
"4-172323988449";20240408;20240405;AM;VENDA INDEVIDA;Pedido Duplicado;1061516;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR787016;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;PROATIVA TELECOMUNICACAO EIRELI;;MANAUS;92;;;;;
"4-173650804075";20240422;20240419;RS;VENDA INDEVIDA;Pedido Duplicado;1056167;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC305864;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP S A;;CAXIAS DO SUL;54;;;;;
"4-172738244994";20240418;20240416;RS;VENDA INDEVIDA;Pedido Duplicado;1054779;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;TR794423;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;AEC CENTRO DE CONTATOS S A;;PORTO ALEGRE;51;;;;;
"4-173581435421";20240419;20240417;PR;VENDA INDEVIDA;Pedido Duplicado;1065033;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR783789;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;JV TELECOM E SERVICOS LTDA;;CURITIBA;41;;;;;
"4-172402227554";20240410;20240408;RJ;VENDA ERRADA;Divergencia De Endereco;1066316;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR712198;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROATIVA TELECOMUNICACAO EIRELI;;ITAGUAI;21;Divergencia De Endereco;;;;
"4-173087248116";20240415;20240411;RJ;VENDA INDEVIDA;Pedido Duplicado;1055290;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC789307;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;NOVA IGUACU;21;;;;;
"4-171370250899";20240411;20240328;AM;VENDA INDEVIDA;Pedido Duplicado;1046183;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC303545;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;MANAUS;92;;;;;
"4-171544355500";20240405;20240404;MS;VENDA INDEVIDA;Pedido Duplicado;1048700;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC305059;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;DOURADOS;67;;;;;
"4-173557700263";20240419;20240417;ES;VENDA INDEVIDA;Pedido Duplicado;1048266;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797281;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;EASY CONNECT SOL E TELECOM LTDA;;SERRA;27;;;;;
"4-173318901294";20240415;20240413;ES;VENDA INDEVIDA;Pedido Duplicado;1060915;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC789614;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER SA;;CARIACICA;27;;;;;S
